Nom Alliage	Prix (US$/kg)	E (GPa)	Ni	Cr	Fe	C	Cu	Ti	W	Al	Nb	Co	S	P	Mn	Si	Mo	N	Zn	PREN	CCT 	Vcorr (micromètre/an)	T (°K)	[O2] dans le milieu	[HCl]	[Cl-] hors HCL	[Fe3+]	[H2SO4]/[HNO3]	[HBR]	[SO2] . [CO2/H2S]	Fe2SO4	[ions métalliques] [Na-.K-] hors acidifiant	Force appliquée (N.m)	Vitesse du courant (m/s)
N06455	20	212	65	16	3	0.01	0.5	0.7	0	0	0	0	0	0	0	0	16	0	0	69	37	500	358.5	0	2.5	0	0	0	0	0	0	0	0	0
N06455	20	212	65	16	3	0.01	0.5	0.7	0	0	0	0	0	0	0	0	16	0	0	69	37	500	346.5	0	5	0	0	0	0	0	0	0	0	0
N06455	20	212	65	16	3	0.01	0.5	0.7	0	0	0	0	0	0	0	0	16	0	0	69	37	500	338.5	0	7.5	0	0	0	0	0	0	0	0	0
N06455	20	212	65	16	3	0.01	0.5	0.7	0	0	0	0	0	0	0	0	16	0	0	69	37	500	332.5	0	10	0	0	0	0	0	0	0	0	0
N06455	20	212	65	16	3	0.01	0.5	0.7	0	0	0	0	0	0	0	0	16	0	0	69	37	500	332.5	0	15	0	0	0	0	0	0	0	0	0
N06455	20	212	65	16	3	0.01	0.5	0.7	0	0	0	0	0	0	0	0	16	0	0	69	37	500	339.5	0	20	0	0	0	0	0	0	0	0	0
N07718	50.38	200	51	18	24.72	0.08	0.3	1.1	0	0.3	0	0.8	0.05	0.04	0.35	0.35	3	0.01	0	28	10	1700	298	0	0	0	0	0	0	0	0	0	0	0
N07718	50.38	200	51	18	24.72	0.08	0.3	1.1	0	0.3	0	0.8	0.05	0.04	0.35	0.35	3	0.01	0	28	10	1640	298	0	0	1	0	0	0	0	0	0	0	0
N07718	50.38	200	51	18	24.72	0.08	0.3	1.1	0	0.3	0	0.8	0.05	0.04	0.35	0.35	3	0.01	0	28	10	1570	298	0	0	2	0	0	0	0	0	0	0	0
N07718	50.38	200	51	18	24.72	0.08	0.3	1.1	0	0.3	0	0.8	0.05	0.04	0.35	0.35	3	0.01	0	28	10	1590	298	0	0	3	0	0	0	0	0	0	0	0
N07718	50.38	200	51	18	24.72	0.08	0.3	1.1	0	0.3	0	0.8	0.05	0.04	0.35	0.35	3	0.01	0	28	10	1440	298	0	0	4	0	0	0	0	0	0	0	0
N07718	50.38	200	51	18	24.72	0.08	0.3	1.1	0	0.3	0	0.8	0.05	0.04	0.35	0.35	3	0.01	0	28	10	1390	298	0	0	5	0	0	0	0	0	0	0	0
N07718	50.38	200	51	18	24.72	0.08	0.3	1.1	0	0.3	0	0.8	0.05	0.04	0.35	0.35	3	0.01	0	28	10	1630	298	0	0	6	0	0	0	0	0	0	0	0
N07208	51	217	56	20	1.5	0.06	0	2.1	0	1.5	0	10	0	0	0.3	0.15	8.5	0.0073	0.007	48	50	0.0193	298	0	0	0	0	0	0	0	0	0	0	0
N07208	51	217	56	20	1.5	0.06	0	2.1	0	1.5	0	10	0	0	0.3	0.15	8.5	0.0073	0.007	48	50	0.0185	298	0	0	1	0	0	0	0	0	0	0	0
N07208	51	217	56	20	1.5	0.06	0	2.1	0	1.5	0	10	0	0	0.3	0.15	8.5	0.0073	0.007	48	50	0.0215	298	0	0	2	0	0	0	0	0	0	0	0
N07208	51	217	56	20	1.5	0.06	0	2.1	0	1.5	0	10	0	0	0.3	0.15	8.5	0.0073	0.007	48	50	0.0206	298	0	0	3	0	0	0	0	0	0	0	0
N07208	51	217	56	20	1.5	0.06	0	2.1	0	1.5	0	10	0	0	0.3	0.15	8.5	0.0073	0.007	48	50	0.0197	298	0	0	4	0	0	0	0	0	0	0	0
N07208	51	217	56	20	1.5	0.06	0	2.1	0	1.5	0	10	0	0	0.3	0.15	8.5	0.0073	0.007	48	50	0.0166	298	0	0	5	0	0	0	0	0	0	0	0
N07208	51	217	56	20	1.5	0.06	0	2.1	0	1.5	0	10	0	0	0.3	0.15	8.5	0.0073	0.007	48	50	0.0183	298	0	0	6	0	0	0	0	0	0	0	0
N06600	31.57	190	75.05	15.61	8.81	0.04	0.03	0.2	0	0	0.2	0	0	0	0.22	0.18	0	0	0	15	5	2.5	298	0	0	0	0	0	0	0	0	0	0	0
N06600	31.57	190	75.05	15.61	8.81	0.04	0.03	0.2	0	0	0.2	0	0	0	0.22	0.18	0	0	0	15	5	100	298	0	0	0	0	0	0	0	0	0	0	0
N06600	31.57	190	75.05	15.61	8.81	0.04	0.03	0.2	0	0	0.2	0	0	0	0.22	0.18	0	0	0	15	5	100	423	0	0	3	0	0	0	0	0	0	0	0
N06690	32	211	69.5	30	9.2	0.019	0.01	0	0	0.02	0	0	0.003	0	0.35	0.35	0	0	0	30	10	4.8	598	6.1	0	0	0	0	0	0	0	0	0	0
B30	80	115	31.08	0	0.765	0.016	67	0	0	0	0	0	0.0061	0.006	1	0.044	0	0	0	1	1	2700	298	0	0	1	0	0	0	0	0	0	0	0
B30	80	115	31.08	0	0.765	0.016	67	0	0	0	0	0	0.0061	0.006	1	0.044	0	0	0	1	1	130	298	0	0	3	0	0	0	0	0	0	0	0
B30	80	115	31.08	0	0.765	0.016	67	0	0	0	0	0	0.0061	0.006	1	0.044	0	0	0	1	1	100	298	0	0	6	0	0	0	0	0	0	0	0
B30	80	115	31.08	0	0.765	0.016	67	0	0	0	0	0	0.0061	0.006	1	0.044	0	0	0	1	1	40	298	0	0	9	0	0	0	0	0	0	0	0
B30	80	115	31.08	0	0.765	0.016	67	0	0	0	0	0	0.0061	0.006	1	0.044	0	0	0	1	1	20	298	0	0	12	0	0	0	0	0	0	0	0
Sample Nitrogen #1	80	150	8.56	19.22	65	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0	0	41	40	10	298	0	0	1	0	0	0	0	0	0	0	0
Sample Nitrogen #2	80	150	7.1	19.22	66	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0.256	0	41	40	100	298	0	0	1	0	0	0	0	0	0	0	0
Sample Nitrogen #3	80	150	5.13	19.22	68	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0.321	0	41	40	200	298	0	0	1	0	0	0	0	0	0	0	0
Sample Nitrogen #4	80	150	3.71	19.22	70	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0.373	0	41	40	300	298	0	0	1	0	0	0	0	0	0	0	0
Sample Nitrogen #5	80	150	0.13	19.22	73	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0.45	0	41	40	500	298	0	0	1	0	0	0	0	0	0	0	0
Sample Nitrogen #1	80	150	8.56	19.22	65	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0	0	41	40	4900	298	0	0	1	0.05	0	0	0	0	0	0	0
Sample Nitrogen #2	80	150	7.1	19.22	66	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0.256	0	41	40	1300	298	0	0	1	0.05	0	0	0	0	0	0	0
Sample Nitrogen #3	80	150	5.13	19.22	68	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0.321	0	41	40	200	298	0	0	1	0.05	0	0	0	0	0	0	0
Sample Nitrogen #4	80	150	3.71	19.22	70	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0.373	0	41	40	500	298	0	0	1	0.05	0	0	0	0	0	0	0
Sample Nitrogen #5	80	150	0.13	19.22	73	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0.45	0	41	40	1300	298	0	0	1	0.05	0	0	0	0	0	0	0
Sample Nitrogen #1	80	150	8.56	19.22	65	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0	0	41	40	3700	298	0	0	1	0.33	0	0	0	0	0	0	0
Sample Nitrogen #2	80	150	7.1	19.22	66	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0.256	0	41	40	800	298	0	0	1	0.33	0	0	0	0	0	0	0
Sample Nitrogen #3	80	150	5.13	19.22	68	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0.321	0	41	40	200	298	0	0	1	0.33	0	0	0	0	0	0	0
Sample Nitrogen #4	80	150	3.71	19.22	70	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0.373	0	41	40	900	298	0	0	1	0.33	0	0	0	0	0	0	0
Sample Nitrogen #5	80	150	0.13	19.22	73	0.42	0	0	1.7	0	0	0	0	0	1.61	0	0	0.45	0	41	40	1500	298	0	0	1	0.33	0	0	0	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	14.5	298	0	0	3.5	0	0	0	0	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	14	298	0	0	3.5	0	0	0	0	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	13.5	298	0	0	3.5	0	0	0	0	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	18	298	0	0	3.5	0	0	0	0	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	15	298	0	0	3.5	0	0	0	0	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	11	298	0	0	3.5	0	0	0	0	0	1	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	9.4	296	0	0	3.5	0	0	0	0.01	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	3.9	296	0	0	3.5	0	0	0	1	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	2	296	0	0	3.5	0	0	0	0	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	15.8	323	0	0	3.5	0	0	0	0.01	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	7.1	323	0	0	3.5	0	0	0	1	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	3	323	0	0	3.5	0	0	0	0	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	55.7	353	0	0	3.5	0	0	0	0.01	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	16	353	0	0	3.5	0	0	0	1	0	0	0	0
B10	7.62	103.4	10	5	1.5	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	7.7	353	0	0	3.5	0	0	0	0	0	0	0	0
B10	7.62	103.4	10	5	1.6	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	10.8	298	0	0	3.5	0	0	0	0	0	1	0	0
B10	7.62	103.4	10	5	1.6	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	162.9	298	0	0	3.5	0	0	0	0	0	1	0	3
B10	7.62	103.4	10	5	1.6	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	196	298	0	0	3.5	0	0	0	0	0	1	0	5
B10	7.62	103.4	10	5	1.6	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	212	298	0	0	3.5	0	0	0	0	0	1	0	7
B10	7.62	103.4	10	5	1.6	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	188.5	298	0	0	3.5	0	0	0	0	0	1	0	3
B10	7.62	103.4	10	5	1.3	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	12.3	298	0	0	3.5	0	0	0	0	0	1	0	0
B10	7.62	103.4	10	5	1.3	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	163.2	298	0	0	3.5	0	0	0	0	0	1	0	3
B10	7.62	103.4	10	5	1.3	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	201.3	298	0	0	3.5	0	0	0	0	0	1	0	5
B10	7.62	103.4	10	5	1.3	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	209.3	298	0	0	3.5	0	0	0	0	0	1	0	7
B10	7.62	103.4	10	5	1.3	0.05	87	0	17	0	0	0	0.01	0	1	0	0.5	0	0.2	34	35	180.8	298	0	0	3.5	0	0	0	0	0	1	0	3
825	20.15	196	43	19.5	30	2.2	0	1	0	0	0	0	0	0	0	0	3	0	0	28	5	10	298	0	1	0	0	0	6	0	0	0	0	0
825	20.15	196	43	19.5	30	2.2	0	1	0	0	0	0	0	0	0	0	3	0	0	28	5	10	298	0	0.01	4	0	0	0	0	0.1	0	0	0
716	42	200	57	19	18	0	0	1.4	0	0.3	3.4	0	0	0	0	0	7	0	0	42	35	10	298	0	0.01	4	0	0	0	0	0.1	0	0	0
725	42	204	57	19	18	0	0	1.4	0	0.3	3.4	0	0	0	0	0	7	0	0	42	25	10	298	0	1	0	0	0	6	0	0	0	0	0
725	42	204	57	19	18	0	0	1.4	0	0.3	3.4	0	0	0	0	0	7	0	0	42	25	10	298	0	1.2	0	2	11.5	1	0	0	0	0	0
725	42	204	57	19	18	0	0	1.4	0	0.3	3.4	0	0	0	0	0	7	0	0	42	25	10	298	0	0.01	4	0	0	0	0	0.1	0	0	0
625	43.18	180	62	20	0	0	0	0	0	0	3.7	0	0	0	0	0	8	0	0	46	40	10	298	0	1	0	0	0	6	0	0	0	0	0
625	43.18	180	62	20	0	0	0	0	0	0	3.7	0	0	0	0	0	8	0	0	46	40	10	298	0	1.2	0	2	11.5	1	0	0	0	0	0
625	43.18	180	62	20	0	0	0	0	0	0	3.7	0	0	0	0	0	8	0	0	46	40	10	298	0	0.01	4	0	0	0	0	0.1	0	0	0
C-22	50	206	59	20	3	0	0	2.5	3	0	0	0	0	0	0	0	12.5	0	0	65	75	10	298	0	1	0	0	0	6	0	0	0	0	0
C-22	50	206	59	20	3	0	0	2.5	3	0	0	0	0	0	0	0	12.5	0	0	65	105	10	298	0	1.2	0	2	11.5	1	0	0	0	0	0
C-22	50	206	59	20	3	0	0	2.5	3	0	0	0	0	0	0	0	12.5	0	0	65	102	10	298	0	0.01	4	0	0	0	0	0.1	0	0	0
C-276	40	205	59	14.5	5	0	0	3	0	0	0	0	0	0	0	0	15	0	0	69	50	10	298	0	1	0	0	0	6	0	0	0	0	0
C-276	40	205	59	14.5	5	0	0	3	0	0	0	0	0	0	0	0	15	0	0	69	105	10	298	0	1.2	0	2	11.5	1	0	0	0	0	0
C-276	40	205	59	14.5	5	0	0	3	0	0	0	0	0	0	0	0	15	0	0	69	80	10	298	0	0.01	4	0	0	0	0	0.1	0	0	0
C22 HS	50	206	59	20	0	0	0	0	0	0	0	0	0	0	0	0	15.5	0	0	71	100	10	298	0	1	0	0	0	6	0	0	0	0	0
59	45	210	59	22	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	72	110	10	298	0	1.2	0	2	11.5	1	0	0	0	0	0
686	45	207	46	19	5	0	0	0	3	0	0	0	0	0	0	0	15	0	0	73	110	10	298	0	1.2	0	2	11.5	1	0	0	0	0	0
625	43.18	180	62	21	0	0	0	0	0	0	3.7	0	0	0	0	0	9	0	0	46	40	18760	352	0	20	0	0	0	0	0	0	0	0	0
C-22	50	206	59	20	3	0	0	2.5	3	0	0	0	0	0	0	0	12.5	0	0	65	80	340	352	0	20	0	0	0	0	0	0	0	0	0
C-276	40	205	59	14.5	5	0	0	3	0	0	0	0	0	0	0	0	15	0	0	69	55	510	352	0	20	0	0	0	0	0	0	0	0	0
C-2000	35	206	59	23	0	0	1.6	0	0	0	0	0	0	0	0	0	16	0	0	47	80	400	352	0	20	0	0	0	0	0	0	0	0	0
625	43.18	180	61	21.5	2.5	0	0	0	0	0	3.6	0	0	0	0	0	9	0	0	40.8	40	10	298	0	0	0	0.6	0	0	0	0	0	0	45.7
825	20.15	196	42	21.5	28	0	2	0	0	0	0	0	0	0	0	0	3	0	0	26	5	8	298	0	0	0	0.6	0	0	0	0	0	0	45.7
K-500	40	179	64.7	0	1	0	30.2	0.6	0	2.7	0	0	0	0	0	0	0	0	0	31	30	10	298	0	0	0	0.6	0	0	0	0	0	0	45.7
400	40	192	65.1	0	1.6	0	32	0	0	0	0	0	0	0	1.1	0	0	0	0	1	1	10	298	0	0	0	0.6	0	0	0	0	0	0	45.7
200	40	180	99.6	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	401000	298	0	0	0	0.6	0	0	0	0	0	0	45.7
27-7MO	40	191	27	22	0	0	0	0	0	0	0	0	0	0	0	0	7.2	0.34	0	41.6	45	20	323	0	0.5	0	0	0	0	0	0	0	0	0
27-7MO	40	191	27	22	0	0	0	0	0	0	0	0	0	0	0	0	7.2	0.34	0	41.6	45	33	323	0	1	0	0	0	0	0	0	0	0	0
27-7MO	40	191	27	22	0	0	0	0	0	0	0	0	0	0	0	0	7.2	0.34	0	41.6	45	10	323	0	5	0	0	0	0	0	0	0	0	0
27-7MO	40	191	27	22	0	0	0	0	0	0	0	0	0	0	0	0	7.2	0.34	0	41.6	45	360	323	0	0	0	0	95	0	0	0	0	0	0
27-7MO	40	191	27	22	0	0	0	0	0	0	0	0	0	0	0	0	7.2	0.34	0	41.6	45	10	323	0	2	0	0	10	0	0	0	0	0	0
27-7MO	40	191	27	22	0	0	0	0	0	0	0	0	0	0	0	0	7.2	0.34	0	41.6	45	25	363	0	0	0	0	10	0	0	0	0	0	0
25-6MO	40	188	25	20	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0.2	0	35.8	35	5	323	0	0.5	0	0	0	0	0	0	0	0	0
25-6MO	40	188	25	20	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0.2	0	35.8	35	5540	323	0	1	0	0	0	0	0	0	0	0	0
25-6MO	40	188	25	20	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0.2	0	35.8	35	1140	323	0	5	0	0	0	0	0	0	0	0	0
25-6MO	40	188	25	20	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0.2	0	35.8	35	460	323	0	0	0	0	95	0	0	0	0	0	0
25-6MO	40	188	25	20	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0.2	0	35.8	35	740	323	0	2	0	0	10	0	0	0	0	0	0
25-6MO	40	188	25	20	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0.2	0	35.8	35	840	363	0	0	0	0	10	0	0	0	0	0	0
625	43.18	206	62	20	0	0	0	0	0	0	3.7	0	0	0	0	0	8	0	0	40.2	35	18	323	0	0.5	0	0	0	0	0	0	0	0	0
625	43.18	206	62	20	0	0	0	0	0	0	3.8	0	0	0	0	0	8	0	0	40.2	35	380	323	0	1	0	0	0	0	0	0	0	0	0
625	43.18	206	62	20	0	0	0	0	0	0	3.9	0	0	0	0	0	8	0	0	40.2	35	10	323	0	5	0	0	0	0	0	0	0	0	0
625	43.18	206	62	20	0	0	0	0	0	0	3.10	0	0	0	0	0	8	0	0	40.2	35	1220	323	0	0	0	0	95	0	0	0	0	0	0
625	43.18	206	62	20	0	0	0	0	0	0	3.11	0	0	0	0	0	8	0	0	40.2	35	10	323	0	2	0	0	10	0	0	0	0	0	0
625	43.18	206	62	20	0	0	0	0	0	0	3.12	0	0	0	0	0	8	0	0	40.2	35	40	363	0	0	0	0	10	0	0	0	0	0	0
C-276	50	205	59	14.5	5	0	0	3	0	0	0	0	0	0	0	0	15	0	0	45.2	50	165	323	0	1	0	0	0	0	0	0	0	0	0
C-276	50	205	59	14.6	5	0	0	3	0	0	0	0	0	0	0	0	15	0	0	45.2	50	13	323	0	5	0	0	0	0	0	0	0	0	0
C-276	50	205	59	14.7	5	0	0	3	0	0	0	0	0	0	0	0	15	0	0	45.2	50	2.5	323	0	0	0	0	95	0	0	0	0	0	0
C-276	50	205	59	14.8	5	0	0	3	0	0	0	0	0	0	0	0	15	0	0	45.2	50	10	323	0	2	0	0	10	0	0	0	0	0	0
C-276	50	205	59	14.9	5	0	0	3	0	0	0	0	0	0	0	0	15	0	0	45.2	50	10	363	0	0	0	0	10	0	0	0	0	0	0
304	2.29	203	10.5	20	78	0.08	0	0	0	0	0	0	0.03	0.045	2	0.75	0	0.1	20	23	5	130	422	0	0	0	0	10	0	0	0	0	0	0
304	2.29	203	10.5	20	78	0.08	0	0	0	0	0	0	0.03	0.045	2	0.75	0	0.1	20	23	5	250	422	0	0	0	0	20	0	0	0	0	0	0
304	2.29	203	10.5	20	78	0.08	0	0	0	0	0	0	0.03	0.045	2	0.75	0	0.1	20	23	5	430	422	0	0	0	0	30	0	0	0	0	0	0
304L	2.529	203	12	20	75	0.03	0	0	0	0	0	0	0.03	0.045	2	0.75	0	0.1	21	23	5	110	422	0	0	0	0	10	0	0	0	0	0	0
304L	2.529	203	12	20	75	0.03	0	0	0	0	0	0	0.03	0.045	2	0.75	0	0.1	21	23	5	220	422	0	0	0	0	20	0	0	0	0	0	0
304L	2.529	203	12	20	75	0.03	0	0	0	0	0	0	0.03	0.045	2	0.75	0	0.1	21	23	5	390	422	0	0	0	0	30	0	0	0	0	0	0
304H	2.609	203	10.5	20	78	0.04	0	0	0	0	0	0	0.03	0.045	2	0.75	0	0.1	19	23	5	140	422	0	0	0	0	10	0	0	0	0	0	0
304H	2.609	203	10.5	20	78	0.04	0	0	0	0	0	0	0.03	0.045	2	0.75	0	0.1	19	23	5	240	422	0	0	0	0	20	0	0	0	0	0	0
304H	2.609	203	10.5	20	78	0.04	0	0	0	0	0	0	0.03	0.045	2	0.75	0	0.1	19	23	5	460	422	0	0	0	0	30	0	0	0	0	0	0